Time (s);Timestamp;Pressure (hPa);Temperature (°C);Altitude (m);Accel_X (m/s²);Accel_Y (m/s²);Accel_Z (m/s²);Gyro_X (°/s);Gyro_Y (°/s);Gyro_Z (°/s);Mag_X (µT);Mag_Y (µT);Mag_Z (µT);GPS_Latitude;GPS_Longitude;GPS_Altitude (m)
9.73;2025-05-04 11:22:58;978.6334374274222;40.837713767224415;113.69805134462587;10.857704528808593;-0.0383072265625;0.8930372192382812;5.407056817648855;0.4388637186412214;-2.147421195221374;-34.949999999999996;-35.1;-4.6499999999999995;0.0;0.0;0.0
9.86;2025-05-04 11:22:58;978.7175979506064;40.837713767224415;112.97447734464278;10.04846436767578;1.9656395629882812;1.8698714965820311;4.679880686396947;-0.6594946591603055;-1.5755926947938932;-39.0;-4.5;-1.05;0.0;0.0;0.0
9.99;2025-05-04 11:22:58;978.7230726848535;40.872956523745074;112.92740980839459;10.510545288085936;4.256890551757812;2.4061726684570313;3.0278132573893135;-1.7778377236030536;0.4242082817709924;-42.449999999999996;10.799999999999999;-12.0;0.0;0.0;0.0
10.12;2025-05-04 11:22:58;978.8176849521137;40.90120666984498;112.11404028925728;9.715670336914062;4.276044165039062;0.3902548706054687;0.49029097893129775;-2.0307106252366416;2.556707577633588;-47.85;4.05;-27.15;0.0;0.0;0.0
10.25;2025-05-04 11:22:58;978.9030474647208;40.90120666984498;111.38024434981955;10.338162768554687;0.11013327636718749;-2.24097275390625;-1.200147048427481;-1.355761141740458;2.483696855770993;-49.65;-12.15;-36.6;0.0;0.0;0.0
10.38;2025-05-04 11:22:59;978.9063934595806;40.92274390994095;111.35148245790009;11.602301245117188;-0.8571241943359375;-1.7645266235351562;-0.6469709221984734;-0.4790995544122138;1.0951608279389313;-46.5;-20.849999999999998;-43.05;0.0;0.0;0.0
10.52;2025-05-04 11:22:59;979.0042901606596;40.92274390994095;110.51000583801297;11.154585534667968;3.440467785644531;-0.3280056274414062;-1.4428943754961832;-0.32721593593893133;1.0677151916183207;-45.0;-25.05;-45.6;0.0;0.0;0.0
10.67;2025-05-04 11:22:59;979.0866950099718;40.96106341504675;109.80174311550184;9.361328491210937;4.110844250488281;-0.833182177734375;-4.6175284640763365;-1.153249650442748;2.5249985414961835;-41.25;-25.8;-57.3;0.0;0.0;0.0
10.79;2025-05-04 11:22:59;979.0912147102248;40.99015267439715;109.76289806970894;9.114725720214842;2.001552587890625;-1.7956512451171873;-6.523268182183207;-2.200447230442748;1.8297979088702292;-29.25;-10.95;-68.85;0.0;0.0;0.0
10.93;2025-05-04 11:22:59;979.1745372564474;40.99015267439715;109.0467995711133;10.905588562011719;3.057395520019531;-0.9816226806640624;-8.713856300549619;-1.8196723343053436;0.09219602103816796;-19.5;20.55;-59.699999999999996;0.0;0.0;0.0
11.05;2025-05-04 11:22:59;979.1824905559287;41.04133858267717;108.97844915294522;10.505756884765624;0.9648632690429687;4.450820886230469;-7.993075269022902;-2.187923493480916;-1.1543155003969467;-15.75;34.5;-16.5;0.0;0.0;0.0
11.19;2025-05-04 11:22:59;979.292095949527;41.04133858267717;108.03654945538324;10.01733974609375;-0.35194764404296874;2.4205378784179685;-5.608768921480916;-1.4396968256335878;-3.037672369465649;-14.25;13.2;10.35;0.0;0.0;0.0
11.32;2025-05-04 11:23:00;979.3958923459743;41.08469276728593;107.14464836945643;12.030863342285155;1.1348515869140625;4.469974499511719;-5.22239831308397;-0.04263399816793894;-2.517537591816794;-15.899999999999999;-16.95;17.55;0.0;0.0;0.0
11.46;2025-05-04 11:23:00;979.4013255466568;41.11965581938976;107.09796410152069;12.777854260253905;-0.9720458740234375;4.630386010742187;-2.4328025204580155;-0.9168974230992367;-2.5244656165190844;-20.849999999999998;-33.15;7.6499999999999995;0.0;0.0;0.0
11.59;2025-05-04 11:23:00;979.5202133004555;41.11965581938976;106.07648470612604;12.447454431152343;1.4891934326171874;-0.4429273071289062;-2.5647014522900764;0.02238284903816794;-2.518603441770993;-31.65;-33.15;1.05;0.0;0.0;0.0
11.73;2025-05-04 11:23:00;979.5260815418435;41.157415915661915;106.02606758258526;11.501744775390625;0.38307226562499996;1.9895815795898437;-4.5141410185190844;1.3432374047786262;-1.0336079930839694;-35.85;-37.949999999999996;-7.05;0.0;0.0;0.0
11.85;2025-05-04 11:23:00;979.6046418244108;41.18678487942914;105.3511387576869;10.692504614257812;-4.244919543457031;2.722207287597656;-1.475935724076336;1.062652404335878;-1.556140933129771;-37.5;-40.949999999999996;-17.849999999999998;0.0;0.0;0.0
11.98;2025-05-04 11:23:00;979.6851023926973;41.18678487942914;104.65992958437316;9.567229833984374;-2.7653029174804686;2.9041666137695312;1.882291019114504;0.32481777354198477;-3.0291455698320613;-41.85;-31.049999999999997;-12.9;0.0;0.0;0.0
12.12;2025-05-04 11:23:00;979.6921014099207;41.231817290538885;104.5998055986702;9.088389501953124;1.9967641845703124;2.9376854370117185;2.6012068132213746;-1.3083308187786262;-2.5604380524732826;-47.25;-7.199999999999999;-13.799999999999999;0.0;0.0;0.0
12.25;2025-05-04 11:23:00;979.7717483720622;41.231817290538885;103.91563506377103;10.137049829101562;3.402160559082031;1.3072341064453123;0.4764349295267176;-1.5404196463053437;-0.5185360027175573;-48.15;2.1;-21.3;0.0;0.0;0.0
